quarter,battery,solar
2019-Q2,1679.8769230769228,14.333333333333334
2019-Q3,120.0,
2019-Q4,,28.666666666666668
2020-Q2,1492.0,141.34100000000004
2020-Q3,1600.0,10.8
2020-Q4,268.7741192307692,580.5
2021-Q1,7075.75,14.677333333333333
2021-Q2,6389.729358974359,723.8333333333334
2021-Q3,11562.416666666666,67.0
2021-Q4,,12.470000000000002
2022-Q1,25593.0,736.1666666666667
2022-Q2,14943.921323076924,267.6106666666667
2022-Q3,1811.7115384615386,2352.4733333333334
2022-Q4,2060.0,2.7806666666666664
2023-Q1,4049.550610153846,75.0
2023-Q2,7310.123846153846,5.760996666666667
2023-Q3,5485.233333333333,151.39686733333332
2023-Q4,8146.456523076923,167.63333333333335
