location,latitude,longitude,status,investment_eur,company,tech,component
Hof,50.3219015,11.9178807,operational,200.66666666666669,Sono Motors,solar,modules
Bitburg,49.9732762,6.524947,announced,28666666.666666668,Soluxtec,solar,modules
Bitburg,49.9732762,6.524947,actual,78833333.33333334,Soluxtec,solar,modules
Umeå,63.8256568,20.2630745,operational,539938461.5384614,Northvolt,battery,cell_manufacturing
Umeå,63.8256568,20.2630745,announced,1079876923.076923,Northvolt,battery,cell_manufacturing
Warsaw,52.2337172,21.07143223563649,operational,29750000.0,Impact Clean Power Technology,battery,cell_manufacturing
Warsaw,52.2337172,21.07143223563649,announced,337461538.46153843,Impact Clean Power Technology,battery,cell_manufacturing
U.K.,54.7023545,-3.2765753,announced,2580000.0,Roof Tiles Technology Ltd,solar,modules
Agen,44.2015827,0.6176112,operational,5500000.0,Fonroche Energie SARL,solar,modules
Agen,44.2015827,0.6176112,operational,3500000.0,Fonroche Energie SARL,solar,modules
Agen,44.2015827,0.6176112,operational,10033333.333333334,Fonroche Energie SARL,solar,modules
Sunderland,54.9058512,-1.3828727,operational,121486153.84615384,Tata Group,battery,cell_manufacturing
Sunderland,54.9058512,-1.3828727,announced,4640000000.0,Tata Group,battery,cell_manufacturing
Bourgoin-Jailleu,,,announced,7166666.666666667,Photowatt,solar,modules
Bourgoin-Jailleu,,,operational,71666666.66666667,Photowatt,solar,modules
Northern Sweden,,,operational,2699692307.6923075,Northvolt,battery,cell_manufacturing
Northern Sweden,,,announced,2337500000.0,Northvolt,battery,cell_manufacturing
Heilbronn,49.142291,9.218655,announced,6749230.769230769,Porsche,battery,cell_manufacturing
Winterthur,47.4991723,8.7291498,announced,11473.692307692309,Designwerk,battery,cell_manufacturing
Mo i Rana,66.3110969,14.1386991,actual,1445000000.0,Freyr,battery,cell_manufacturing
Mo i Rana,66.3110969,14.1386991,announced,13498461538.461538,Freyr,battery,cell_manufacturing
Karlstein,50.0443203,9.0337844,operational,1012384615.3846153,BMZ,battery,cell_manufacturing
Karlstein,50.0443203,9.0337844,actual,120000000.0,BMZ,battery,cell_manufacturing
Seville,37.3886303,-5.9953403,announced,716666666.6666667,Greenland Gigafactory,solar,modules
Tarnow,50.02598829999999,20.96405842696229,operational,4300000.0,Bruk-Bet Solar,solar,modules
Tarnow,50.02598829999999,20.96405842696229,announced,17200000.0,Bruk-Bet Solar,solar,modules
Gothenburg,57.7072326,11.9670171,actual,3374615384.6153846,Volvo Group,battery,cell_manufacturing
Dunkirk,51.0347708,2.3772525,announced,5200000000.0,ProLogium,battery,cell_manufacturing
Arendal,58.42673005,8.94694911492874,announced,100000000.0,Morrow Batteries,battery,cell_manufacturing
Glomfjord,66.8122881,13.9493751,announced,313200000.0,Norwegian Crystals,solar,ingot_wafers
Voderady,48.2765255,17.559025,operational,6749230.769230769,Gotion InoBat Batteries,battery,cell_manufacturing
Voderady,48.2765255,17.559025,announced,674923076.9230769,Gotion InoBat Batteries,battery,cell_manufacturing
Bridgwater,51.1283378,-3.0037046,announced,4640000000.0,Tata Group,battery,cell_manufacturing
Mikkeli,61.6877956,27.2726569,operational,2866666.666666667,Valoe,solar,modules
Mikkeli,61.6877956,27.2726569,announced,8600000.0,Valoe,solar,modules
Thalheim,50.7024268,12.8514034,operational,118966666.66666667,Solibro GmbH,solar,modules
Aragon,41.3787291,-0.7639373,announced,43000000.0,Aurinka,solar,modules
Rugby,52.3726682,-1.2620038,operational,1003333.3333333334,Longi Solar,solar,modules
Pompignac,44.85028,-0.43736,announced,24083333.333333332,Startec Energy,battery,module_assembly
Romsey,50.9891396,-1.4999044,announced,674.9230769230769,Ilika,battery,cell_manufacturing
Iváncsa,47.1473327,18.8311498,announced,1623000000.0,SK Group,battery,cell_manufacturing
Viljandi,58.36454,25.5878074,operational,10000000.0,Solarstone,solar,modules
Hegau-Ost service area,,,announced,4730.000000000001,Solarwatt,solar,modules
Turnu Măgurele,43.7518306,24.8691717,announced,156600000.0,Astrasun Solar Kft.,solar,ingot_wafers
Wismar,53.8909832,11.4647932,operational,28666666.666666668,Sonnenstromfabrik,solar,modules
Wismar,53.8909832,11.4647932,announced,43000000.0,Sonnenstromfabrik,solar,modules
Berlin,52.510885,13.3989367,announced,1349846153.8461537,InoBat Auto,battery,cell_manufacturing
Zaanstad,52.4689235,4.773783522451712,operational,14333333.333333334,Hanwha Group,solar,modules
Frankfurt am Oder,52.3255238,14.5474169,announced,,Heckert Solar,solar,polysilicon
Dundee,56.4605938,-2.97019,announced,33746153.84615384,AMTE Power,battery,cell_manufacturing
Cittadella,45.6487941,11.7835801,announced,25000000.0,FuturaSun,solar,modules
Moselle,49.0207259,6.538035170357949,announced,573333333.3333334,REC Group,solar,modules
near Stockholm,,,announced,32000000.0,Midsummer,solar,modules
Šurany,48.0861055,18.1868344,announced,1349846153.8461537,Gotion InoBat Batteries,battery,cell_manufacturing
Lucerne,47.0505452,8.3054682,operational,22933.333333333336,Insolight,solar,modules
Årdal,61.28605655,7.804961075198172,operational,8730000.0,Norsun,solar,ingot_wafers
Årdal,61.28605655,7.804961075198172,announced,54000000.0,Norsun,solar,ingot_wafers
Zaandam,52.4424926,4.8298607,operational,21000000.0,Energyra,solar,modules
Zaandam,52.4424926,4.8298607,announced,43000000.0,Energyra,solar,modules
Kotka,60.4674228,26.9450844,announced,1822292307.6923075,Finish Minerals Group,battery,cell_manufacturing
Vis,43.0434206,16.16547253260465,operational,501666.6666666667,HEP,solar,modules
Yverdon-les-Baines,,,operational,12041666.666666666,Leclanche,battery,module_assembly
V4Drive,,,announced,134984615.38461536,Varta,battery,cell_manufacturing
Scarmagno,45.384456,7.841119,announced,4000000000.0,Italvolt,battery,cell_manufacturing
Scarmagno,45.384456,7.841119,actual,4724461538.461538,Italvolt,battery,cell_manufacturing
Wismar,53.8909832,11.4647932,operational,43000000.0,CS Wismar GmbH,solar,modules
3Sun,37.4218429,15.0562239,operational,28666666.666666668,Enel,solar,modules
3Sun,37.4218429,15.0562239,actual,600000000.0,Enel,solar,modules
Sagunto,39.6792916,-0.2786451,actual,2699692307.6923075,Volkswagen,battery,cell_manufacturing
Grenoble,45.1875602,5.7357819,operational,10123846.153846154,Verkor,battery,cell_manufacturing
"Cobra Solar park, Spain",,,operational,27090000.0,Trina Solar,solar,modules
Disneyland Paris,48.87007635000001,2.773909350791818,operational,5174333.333333334,Axpo,solar,modules
Torgau,51.5581272,13.0046538,operational,14333333.333333334,Saint Gobain,solar,modules
Bitterfeld,51.6239124,12.3301466,announced,600000000.0,Farasis Energy,battery,cell_manufacturing
Rodez,44.3511408,2.5728493,announced,1600000000.0,Verkor,battery,cell_manufacturing
Freiburg,47.9960901,7.8494005,announced,260000000.0,NexWafe,solar,ingot_wafers
Heide,54.1948848,9.0928251,announced,4500000000.0,Northvolt,battery,cell_manufacturing
Freiburg,47.9960901,7.8494005,operational,344000.0,badenovaWÄRMEPLUS,solar,modules
Wroclaw,51.1089776,17.0326689,operational,1380000000.0,LG,battery,cell_manufacturing
Wroclaw,51.1089776,17.0326689,actual,571000000.0,LG,battery,cell_manufacturing
Wroclaw,51.1089776,17.0326689,announced,480000000.0,LG,battery,cell_manufacturing
Sicily,37.587794,14.155048,announced,35116666.66666667,ib vogt,solar,modules
Undisclosed,,,announced,43000000.0,MCPV,solar,modules
Komárom,47.7417349,18.1218256,operational,1300000000.0,SK Group,battery,cell_manufacturing
Komárom,47.7417349,18.1218256,actual,700000000.0,SK Group,battery,cell_manufacturing
Dorog City,,,operational,19000000.0,Sanyo,solar,modules
Lannion,48.7322183,-3.4587994,operational,7166666.666666667,Recom,solar,modules
Darmstadt,49.8851869,8.6736295,operational,100000000.0,Akasol,battery,cell_manufacturing
Darmstadt,49.8851869,8.6736295,announced,168730769.23076922,Akasol,battery,cell_manufacturing
Pruszkow,52.1626141,20.8080199,announced,28900000.0,Impact Clean Power Technology,battery,module_assembly
Pruszkow,52.1626141,20.8080199,announced,96333333.33333333,Impact Clean Power Technology,battery,module_assembly
